"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.896,0.661,0.445,1,0.661,0.142813309575556,"Ablabesmyia","glm"
"2",2,0.869,0.708,0.593,0.882,0.825,0.233330784948522,"Ablabesmyia","glm"
"3",3,0.701,0.402,0.506,0.417,0.985,1,"Ablabesmyia","glm"
"4",4,0.689,0.378,0.428,0.444,0.933,1,"Ablabesmyia","glm"
"5",5,0.636,0.273,0.323,0.333,0.939,1,"Ablabesmyia","glm"
"6",6,0.718,0.436,0.472,0.524,0.912,1,"Ablabesmyia","glm"
"7",7,0.677,0.355,0.419,0.4,0.955,1,"Ablabesmyia","glm"
"8",8,0.915,0.719,0.463,1,0.719,0.107638660514911,"Ablabesmyia","glm"
"9",9,0.744,0.487,0.475,0.6,0.887,1,"Ablabesmyia","glm"
"10",10,0.518,0.037,0.045,0.125,0.912,1,"Ablabesmyia","glm"
"11",11,0.949,0.732,0.699,0.812,0.919,0.4,"Ablabesmyia","tree"
"12",12,0.94,0.719,0.562,0.941,0.778,0.222222222222222,"Ablabesmyia","tree"
"13",13,0.962,0.809,0.559,1,0.809,0.222222222222222,"Ablabesmyia","tree"
"14",14,0.952,0.85,0.723,1,0.85,0.5,"Ablabesmyia","tree"
"15",15,0.966,0.818,0.625,1,0.818,0.2,"Ablabesmyia","tree"
"16",16,0.971,0.86,0.767,1,0.86,0.428571428571429,"Ablabesmyia","tree"
"17",17,0.957,0.848,0.675,1,0.848,0.4,"Ablabesmyia","tree"
"18",18,0.974,0.814,0.687,0.923,0.891,0.25,"Ablabesmyia","tree"
"19",19,0.949,0.855,0.696,1,0.855,0.444444444444444,"Ablabesmyia","tree"
"20",20,0.956,0.824,0.64,1,0.824,0.285714285714286,"Ablabesmyia","tree"
"21",21,0.962,0.825,0.724,0.938,0.887,0.214202514529037,"Ablabesmyia","brt"
"22",22,0.993,0.925,0.925,0.941,0.984,0.240732437423696,"Ablabesmyia","brt"
"23",23,0.95,0.828,0.707,0.917,0.912,0.169487186429477,"Ablabesmyia","brt"
"24",24,0.958,0.833,0.698,1,0.833,0.226093507044852,"Ablabesmyia","brt"
"25",25,0.945,0.797,0.661,0.933,0.864,0.202870855485375,"Ablabesmyia","brt"
"26",26,0.972,0.865,0.816,0.952,0.912,0.285863058586627,"Ablabesmyia","brt"
"27",27,0.926,0.721,0.54,0.933,0.788,0.21592395786987,"Ablabesmyia","brt"
"28",28,0.975,0.875,0.703,1,0.875,0.180596688196606,"Ablabesmyia","brt"
"29",29,0.972,0.855,0.696,1,0.855,0.20931949171477,"Ablabesmyia","brt"
"30",30,0.96,0.79,0.651,0.938,0.853,0.227594196162832,"Ablabesmyia","brt"
"31",31,0.811,0.504,0.339,0.875,0.629,0.0908519534440262,"Ablabesmyia","fda"
"32",32,0.802,0.585,0.465,0.824,0.762,0.159457332856249,"Ablabesmyia","fda"
"33",33,0.777,0.49,0.25,0.917,0.574,0.0548883521377292,"Ablabesmyia","fda"
"34",34,0.83,0.633,0.444,1,0.633,0.197056158433006,"Ablabesmyia","fda"
"35",35,0.814,0.548,0.368,0.867,0.682,0.151660921642344,"Ablabesmyia","fda"
"36",36,0.783,0.509,0.494,0.667,0.842,0.217291347335754,"Ablabesmyia","fda"
"37",37,0.918,0.727,0.497,1,0.727,0.139464112121125,"Ablabesmyia","fda"
"38",38,0.864,0.578,0.316,1,0.578,0.0348406267757075,"Ablabesmyia","fda"
"39",39,0.84,0.611,0.413,0.933,0.677,0.0753490660145404,"Ablabesmyia","fda"
"40",40,0.845,0.588,0.504,0.75,0.838,0.143720154055824,"Ablabesmyia","fda"
"41",41,0.838,0.601,0.446,0.875,0.726,0.197418436408043,"Ablabesmyia","rbf"
"42",42,0.74,0.443,0.305,0.824,0.619,0.202033758163452,"Ablabesmyia","rbf"
"43",43,0.751,0.475,0.238,0.917,0.559,0.153995960950851,"Ablabesmyia","rbf"
"44",44,0.878,0.728,0.59,0.944,0.783,0.317202925682068,"Ablabesmyia","rbf"
"45",45,0.934,0.797,0.661,0.933,0.864,0.279766619205475,"Ablabesmyia","rbf"
"46",46,0.838,0.509,0.358,1,0.509,0.224021136760712,"Ablabesmyia","rbf"
"47",47,0.853,0.63,0.423,0.933,0.697,0.24724069237709,"Ablabesmyia","rbf"
"48",48,0.845,0.562,0.303,1,0.562,0.135259196162224,"Ablabesmyia","rbf"
"49",49,0.772,0.485,0.539,0.533,0.952,0.33447253704071,"Ablabesmyia","rbf"
"50",50,0.835,0.599,0.393,0.938,0.662,0.206764400005341,"Ablabesmyia","rbf"
