"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.67,0.34,0.434,0.357,0.983,1,"Agapetus","glm"
"2",2,0.572,0.144,0.087,0.455,0.689,1,"Agapetus","glm"
"3",3,0.815,0.629,0.492,0.895,0.734,1,"Agapetus","glm"
"4",4,0.592,0.184,0.247,0.214,0.97,1,"Agapetus","glm"
"5",5,0.617,0.234,0.313,0.25,0.984,1,"Agapetus","glm"
"6",6,0.789,0.578,0.451,0.812,0.766,1,"Agapetus","glm"
"7",7,0.551,0.102,0.127,0.174,0.929,1,"Agapetus","glm"
"8",8,0.531,0.063,0.096,0.077,0.986,1,"Agapetus","glm"
"9",9,0.545,0.09,0.129,0.105,0.985,1,"Agapetus","glm"
"10",10,0.562,0.125,0.154,0.182,0.943,1,"Agapetus","glm"
"11",11,0.972,0.825,0.727,0.929,0.897,0.4,"Agapetus","tree"
"12",12,0.973,0.814,0.661,0.909,0.905,0.2,"Agapetus","tree"
"13",13,0.975,0.854,0.781,0.947,0.906,0.333333333333333,"Agapetus","tree"
"14",14,0.984,0.91,0.778,1,0.91,0.428571428571429,"Agapetus","tree"
"15",15,0.977,0.823,0.723,0.938,0.885,0.25,"Agapetus","tree"
"16",16,0.982,0.859,0.786,0.938,0.922,0.4,"Agapetus","tree"
"17",17,0.979,0.832,0.772,0.957,0.875,0.333333333333333,"Agapetus","tree"
"18",18,0.955,0.786,0.535,1,0.786,0.2,"Agapetus","tree"
"19",19,0.968,0.789,0.721,0.895,0.894,0.285714285714286,"Agapetus","tree"
"20",20,0.969,0.9,0.71,1,0.9,0.4,"Agapetus","tree"
"21",21,0.97,0.897,0.771,1,0.897,0.244588536692832,"Agapetus","brt"
"22",22,0.931,0.811,0.526,1,0.811,0.164370700550464,"Agapetus","brt"
"23",23,0.969,0.812,0.665,1,0.812,0.206403181203171,"Agapetus","brt"
"24",24,0.961,0.866,0.69,1,0.866,0.269643347583023,"Agapetus","brt"
"25",25,0.952,0.79,0.667,0.938,0.852,0.252264915679569,"Agapetus","brt"
"26",26,0.985,0.906,0.885,0.938,0.969,0.319227580033061,"Agapetus","brt"
"27",27,0.99,0.964,0.94,1,0.964,0.358320007154835,"Agapetus","brt"
"28",28,0.953,0.789,0.743,0.846,0.943,0.241579699082833,"Agapetus","brt"
"29",29,0.956,0.819,0.775,0.895,0.924,0.315118140822621,"Agapetus","brt"
"30",30,0.948,0.766,0.57,0.909,0.857,0.224065047896156,"Agapetus","brt"
"31",31,0.809,0.525,0.441,0.714,0.81,0.181374915801886,"Agapetus","fda"
"32",32,0.801,0.48,0.254,0.818,0.662,0.16424393529528,"Agapetus","fda"
"33",33,0.905,0.676,0.553,0.895,0.781,0.337901200838596,"Agapetus","fda"
"34",34,0.843,0.687,0.431,1,0.687,0.162574724218923,"Agapetus","fda"
"35",35,0.8,0.513,0.565,0.562,0.951,0.263967982759035,"Agapetus","fda"
"36",36,0.844,0.594,0.472,0.812,0.781,0.138339069470411,"Agapetus","fda"
"37",37,0.785,0.449,0.343,0.913,0.536,0.298522985850377,"Agapetus","fda"
"38",38,0.748,0.5,0.239,1,0.5,0.138688458414704,"Agapetus","fda"
"39",39,0.814,0.523,0.347,0.947,0.576,0.216789729049643,"Agapetus","fda"
"40",40,0.853,0.632,0.445,0.818,0.814,0.111888463108806,"Agapetus","fda"
"41",41,0.885,0.741,0.527,1,0.741,0.295772016048431,"Agapetus","rbf"
"42",42,0.854,0.625,0.352,0.909,0.716,0.203358933329582,"Agapetus","rbf"
"43",43,0.86,0.616,0.693,0.632,0.984,0.486858487129211,"Agapetus","rbf"
"44",44,0.856,0.672,0.414,1,0.672,0.254116177558899,"Agapetus","rbf"
"45",45,0.78,0.458,0.379,0.688,0.77,0.260526657104492,"Agapetus","rbf"
"46",46,0.857,0.578,0.381,0.938,0.641,0.209721624851227,"Agapetus","rbf"
"47",47,0.811,0.507,0.465,0.739,0.768,0.374988555908203,"Agapetus","rbf"
"48",48,0.775,0.529,0.26,1,0.529,0.211461842060089,"Agapetus","rbf"
"49",49,0.83,0.515,0.322,1,0.515,0.182425886392593,"Agapetus","rbf"
"50",50,0.875,0.681,0.432,0.909,0.771,0.186448037624359,"Agapetus","rbf"
