"","Agapetus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.26846,0.191530619524788,0.345389380475213,"DS_Tim",0.09524,0.0543789708059134,0.136101029194087
"DS_Mag_50","DS_Mag_50",0.19072,0.107628659779132,0.273811340220868,"DS_Mag_50",0.05284,0.0218560790925358,0.0838239209074642
"DS_Mag_90","DS_Mag_90",0.26232,0.153052535724489,0.371587464275511,"DS_Mag_90",0.0684,0.0375094734910523,0.0992905265089477
"SP_ROC","SP_ROC",0.06384,0.0374224417233538,0.0902575582766462,"SP_ROC",0.03076,0.0155399342708384,0.0459800657291616
"SP_Dur","SP_Dur",0.17974,0.130856678066032,0.228623321933968,"SP_Dur",0.04208,0.0224077845375769,0.0617522154624231
"SP_Mag","SP_Mag",0.28628,0.21137583141974,0.36118416858026,"SP_Mag",0.04984,0.0284334034746296,0.0712465965253704
"SP_Tim","SP_Tim",0.21746,0.140280997659337,0.294639002340663,"SP_Tim",0.02952,0.0220351477502893,0.0370048522497107
"Wet_BFL_Dur","Wet_BFL_Dur",0.28538,0.204194264567598,0.366565735432402,"Wet_BFL_Dur",0.09076,0.057692049491993,0.123827950508007
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.03578,0.0188833320533308,0.0526766679466692,"Wet_BFL_Mag_10",0.01208,0.00911673538137412,0.0150432646186259
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.14722,0.0963497702708156,0.198090229729184,"Wet_BFL_Mag_50",0.04332,0.0289029042730514,0.0577370957269486
"Wet_Tim","Wet_Tim",0.38002,0.240574323017169,0.519465676982831,"Wet_Tim",0.19108,0.0871676788961001,0.2949923211039
"DS_Dur_WS","DS_Dur_WS",0.12584,0.0706236460520979,0.181056353947902,"DS_Dur_WS",0.0414,0.0205007101556058,0.0622992898443942
"Q99","Q99",0.25656,0.174712583380415,0.338407416619586,"Q99",0.10844,0.0733552198410764,0.143524780158924
"FA_Dur","FA_Dur",0.29516,0.113947344999583,0.476372655000417,"FA_Dur",0.0544,0.0216760698570603,0.0871239301429397
"FA_Mag","FA_Mag",0.2256,0.147116247079411,0.304083752920589,"FA_Mag",0.04276,0.034046427667139,0.051473572332861
"FA_Tim","FA_Tim",0.52966,0.367099656400154,0.692220343599846,"FA_Tim",0.12152,0.0900488292369032,0.152991170763097
