"","Alotanypus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.26738,0.153637423946879,0.381122576053121,"DS_Tim",0.1804,0.0951902257132434,0.265609774286757
"DS_Mag_50","DS_Mag_50",0.3262,0.222926963671537,0.429473036328463,"DS_Mag_50",0.19492,0.125280307717509,0.264559692282491
"DS_Mag_90","DS_Mag_90",0.32542,0.202384310618016,0.448455689381984,"DS_Mag_90",0.17984,0.0973537312469524,0.262326268753048
"SP_ROC","SP_ROC",0.07636,0.0226478011732903,0.13007219882671,"SP_ROC",0.04472,0.0195516805249139,0.0698883194750861
"SP_Dur","SP_Dur",0.18136,0.0704276653211518,0.292292334678848,"SP_Dur",0.1168,0.0509679574826969,0.182632042517303
"SP_Mag","SP_Mag",0.35482,0.245446246163899,0.464193753836101,"SP_Mag",0.23408,0.156871497494123,0.311288502505877
"SP_Tim","SP_Tim",0.38738,0.242211856219417,0.532548143780583,"SP_Tim",0.24676,0.148851614022087,0.344668385977913
"Wet_BFL_Dur","Wet_BFL_Dur",0.52706,0.407003007203662,0.647116992796338,"Wet_BFL_Dur",0.32208,0.251541794754899,0.392618205245101
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.19682,0.111528314996713,0.282111685003287,"Wet_BFL_Mag_10",0.09396,0.0502476385584123,0.137672361441588
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.3211,0.220753712442861,0.421446287557139,"Wet_BFL_Mag_50",0.13616,0.0886459958875281,0.183674004112472
"Wet_Tim","Wet_Tim",0.47402,0.298335204978632,0.649704795021368,"Wet_Tim",0.28668,0.172610807852427,0.400749192147573
"DS_Dur_WS","DS_Dur_WS",0.21866,0.143554686753865,0.293765313246135,"DS_Dur_WS",0.0824,0.0536595053974362,0.111140494602564
"Q99","Q99",0.34058,0.26416796495512,0.41699203504488,"Q99",0.22532,0.157185236588068,0.293454763411932
"FA_Dur","FA_Dur",0.14082,0.0511707711762115,0.230469228823789,"FA_Dur",0.1088,0.0396293534510483,0.177970646548952
"FA_Mag","FA_Mag",0.1492,0.0730934719422834,0.225306528057717,"FA_Mag",0.0802,0.0382966049346834,0.122103395065317
"FA_Tim","FA_Tim",0.15336,0.0445647790603833,0.262155220939617,"FA_Tim",0.0916,0.0458942141299376,0.137305785870062
