"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.827,0.655,0.622,0.938,0.717,1,"Apedilum","glm"
"2",2,0.776,0.409,0.397,0.784,0.625,0.428949519320034,"Apedilum","glm"
"3",3,0.808,0.482,0.385,0.964,0.517,0.24263216981993,"Apedilum","glm"
"4",4,0.818,0.492,0.452,0.941,0.551,0.313316722511316,"Apedilum","glm"
"5",5,0.872,0.679,0.733,0.679,1,0.473048036357332,"Apedilum","glm"
"6",6,0.665,0.33,0.341,0.455,0.875,1,"Apedilum","glm"
"7",7,0.892,0.677,0.723,0.677,1,0.680273825126906,"Apedilum","glm"
"8",8,0.878,0.624,0.563,0.964,0.66,0.34074009530385,"Apedilum","glm"
"9",9,0.932,0.71,0.681,0.971,0.739,0.29467591901037,"Apedilum","glm"
"10",10,0.973,0.858,0.848,0.917,0.941,0.215939442777472,"Apedilum","glm"
"11",11,0.949,0.754,0.74,0.906,0.848,0.5,"Apedilum","tree"
"12",12,0.912,0.623,0.619,0.811,0.812,0.444444444444444,"Apedilum","tree"
"13",13,0.983,0.861,0.823,0.964,0.897,0.4,"Apedilum","tree"
"14",14,0.932,0.703,0.72,0.765,0.939,0.727272727272727,"Apedilum","tree"
"15",15,0.953,0.758,0.734,0.893,0.865,0.4,"Apedilum","tree"
"16",16,0.972,0.825,0.81,1,0.825,0.5,"Apedilum","tree"
"17",17,0.977,0.804,0.756,1,0.804,0.4,"Apedilum","tree"
"18",18,0.914,0.693,0.73,0.714,0.979,0.933333333333333,"Apedilum","tree"
"19",19,0.975,0.811,0.798,0.941,0.87,0.5,"Apedilum","tree"
"20",20,0.973,0.816,0.816,0.875,0.941,0.6,"Apedilum","tree"
"21",21,0.952,0.86,0.844,0.969,0.891,0.406451410607955,"Apedilum","brt"
"22",22,0.907,0.66,0.633,0.973,0.688,0.413007320096149,"Apedilum","brt"
"23",23,0.932,0.772,0.745,0.893,0.879,0.365608178373602,"Apedilum","brt"
"24",24,0.942,0.765,0.793,0.765,1,0.575407333855174,"Apedilum","brt"
"25",25,0.94,0.783,0.803,0.821,0.962,0.379849314379079,"Apedilum","brt"
"26",26,0.959,0.795,0.782,0.97,0.825,0.434211192470849,"Apedilum","brt"
"27",27,0.879,0.641,0.593,0.935,0.706,0.351882500926939,"Apedilum","brt"
"28",28,0.926,0.702,0.638,1,0.702,0.347896696083347,"Apedilum","brt"
"29",29,0.911,0.738,0.724,0.912,0.826,0.405708750765172,"Apedilum","brt"
"30",30,0.958,0.838,0.82,0.917,0.922,0.361252119062845,"Apedilum","brt"
"31",31,0.892,0.697,0.725,0.719,0.978,0.557184352197931,"Apedilum","fda"
"32",32,0.717,0.396,0.363,1,0.396,0.281885006003219,"Apedilum","fda"
"33",33,0.778,0.431,0.475,0.5,0.931,0.489910578449731,"Apedilum","fda"
"34",34,0.782,0.431,0.391,0.941,0.49,0.304494953237043,"Apedilum","fda"
"35",35,0.802,0.588,0.641,0.607,0.981,0.305677679366003,"Apedilum","fda"
"36",36,0.873,0.639,0.623,0.939,0.7,0.488779740768522,"Apedilum","fda"
"37",37,0.84,0.579,0.598,0.677,0.902,0.392632705073469,"Apedilum","fda"
"38",38,0.791,0.496,0.431,0.964,0.532,0.309481078019534,"Apedilum","fda"
"39",39,0.862,0.618,0.65,0.618,1,0.433135950408448,"Apedilum","fda"
"40",40,0.92,0.699,0.655,0.875,0.824,0.126745572875573,"Apedilum","fda"
"41",41,0.916,0.697,0.725,0.719,0.978,0.433413624763489,"Apedilum","rbf"
"42",42,0.775,0.48,0.477,0.73,0.75,0.484432131052017,"Apedilum","rbf"
"43",43,0.769,0.447,0.513,0.464,0.983,0.545865535736084,"Apedilum","rbf"
"44",44,0.749,0.38,0.409,0.441,0.939,0.547605454921722,"Apedilum","rbf"
"45",45,0.741,0.571,0.634,0.571,1,0.548466682434082,"Apedilum","rbf"
"46",46,0.833,0.623,0.617,0.848,0.775,0.506175398826599,"Apedilum","rbf"
"47",47,0.785,0.574,0.612,0.613,0.961,0.662704646587372,"Apedilum","rbf"
"48",48,0.771,0.468,0.397,1,0.468,0.270181149244308,"Apedilum","rbf"
"49",49,0.88,0.618,0.65,0.618,1,0.596726417541504,"Apedilum","rbf"
"50",50,0.86,0.635,0.614,0.792,0.843,0.345451772212982,"Apedilum","rbf"
