"","Atractides","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.18974,0.142148479144915,0.237331520855085,"DS_Tim",0.09636,0.0651075710575962,0.127612428942404
"DS_Mag_50","DS_Mag_50",0.29028,0.169718218878452,0.410841781121548,"DS_Mag_50",0.13036,0.064117712080575,0.196602287919425
"DS_Mag_90","DS_Mag_90",0.34496,0.23312813184159,0.45679186815841,"DS_Mag_90",0.11944,0.0815096067144038,0.157370393285596
"SP_ROC","SP_ROC",0.1555,0.0826895036172668,0.228310496382733,"SP_ROC",0.087,0.0454658009828045,0.128534199017195
"SP_Dur","SP_Dur",0.1704,0.0705080346724522,0.270291965327548,"SP_Dur",0.07064,0.0048756690081926,0.136404330991807
"SP_Mag","SP_Mag",0.27074,0.182683996517557,0.358796003482443,"SP_Mag",0.1272,0.0709789109319288,0.183421089068071
"SP_Tim","SP_Tim",0.14258,0.0787665303701484,0.206393469629852,"SP_Tim",0.04584,0.0273217077785234,0.0643582922214766
"Wet_BFL_Dur","Wet_BFL_Dur",0.49408,0.412533242206082,0.575626757793918,"Wet_BFL_Dur",0.2342,0.188336157051551,0.280063842948449
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.0722,0.0457616959318492,0.0986383040681508,"Wet_BFL_Mag_10",0.04072,0.0228274703521274,0.0586125296478726
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.224,0.172929058022198,0.275070941977802,"Wet_BFL_Mag_50",0.08408,0.0505000458130152,0.117659954186985
"Wet_Tim","Wet_Tim",0.46,0.337664078584824,0.582335921415176,"Wet_Tim",0.16868,0.0967668748196826,0.240593125180317
"DS_Dur_WS","DS_Dur_WS",0.17934,0.0937108099022302,0.26496919009777,"DS_Dur_WS",0.03272,0.0216682240703134,0.0437717759296866
"Q99","Q99",0.52202,0.358995997027432,0.685044002972569,"Q99",0.26736,0.121084381256479,0.413635618743521
"FA_Dur","FA_Dur",0.15626,0.0877571710708237,0.224762828929176,"FA_Dur",0.04564,0.0271979726494075,0.0640820273505925
"FA_Mag","FA_Mag",0.0855,0.0738678396460503,0.0971321603539497,"FA_Mag",0.02804,0.02043145015131,0.03564854984869
"FA_Tim","FA_Tim",0.10106,0.026579543850081,0.175540456149919,"FA_Tim",0.054,0.011239869878589,0.096760130121411
