"","Clinocera","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.35328,0.265854521870338,0.440705478129662,"DS_Tim",0.05824,0.0368212934377447,0.0796587065622553
"DS_Mag_50","DS_Mag_50",0.2925,0.234855305799232,0.350144694200767,"DS_Mag_50",0.04348,0.0313049838932345,0.0556550161067655
"DS_Mag_90","DS_Mag_90",0.47554,0.37890818841189,0.57217181158811,"DS_Mag_90",0.08444,0.065480684854141,0.103399315145859
"SP_ROC","SP_ROC",0.51826,0.306805316883735,0.729714683116265,"SP_ROC",0.22444,0.11549184366498,0.33338815633502
"SP_Dur","SP_Dur",0.30462,0.192016766477601,0.417223233522399,"SP_Dur",0.02916,0.0175344156792013,0.0407855843207987
"SP_Mag","SP_Mag",0.54486,0.470793630240844,0.618926369759156,"SP_Mag",0.09128,0.0725168257163133,0.110043174283687
"SP_Tim","SP_Tim",0.55698,0.479958846900997,0.634001153099003,"SP_Tim",0.0768,0.0528483709531063,0.100751629046894
"Wet_BFL_Dur","Wet_BFL_Dur",0.47602,0.415957337815411,0.536082662184589,"Wet_BFL_Dur",0.05624,0.0242252283656435,0.0882547716343565
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.31682,0.213811776244807,0.419828223755193,"Wet_BFL_Mag_10",0.06972,0.0427761836184998,0.0966638163815002
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.32196,0.240695789013244,0.403224210986756,"Wet_BFL_Mag_50",0.04852,0.0241491516109923,0.0728908483890077
"Wet_Tim","Wet_Tim",0.5337,0.444613020628714,0.622786979371286,"Wet_Tim",0.13948,0.0816972769315949,0.197262723068405
"DS_Dur_WS","DS_Dur_WS",0.144,0.0502148896332685,0.237785110366731,"DS_Dur_WS",0.02212,0.00504779243331431,0.0391922075666857
"Q99","Q99",0.41256,0.345403425442478,0.479716574557522,"Q99",0.08328,0.049795635690669,0.116764364309331
"FA_Dur","FA_Dur",0.241,0.130810602433809,0.351189397566191,"FA_Dur",0.01384,0.00848243760652291,0.0191975623934771
"FA_Mag","FA_Mag",0.29698,0.238505552771317,0.355454447228683,"FA_Mag",0.04916,0.0381622777449146,0.0601577222550854
"FA_Tim","FA_Tim",0.44348,0.33204082744968,0.55491917255032,"FA_Tim",0.05628,0.0313904501205827,0.0811695498794173
