"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.879,0.609,0.602,0.865,0.744,0.260200731139593,"Dicrotendipes","glm"
"2",2,0.934,0.75,0.75,0.8,0.95,0.531437835036738,"Dicrotendipes","glm"
"3",3,0.703,0.406,0.392,0.432,0.974,1,"Dicrotendipes","glm"
"4",4,0.881,0.6,0.6,0.725,0.875,0.431790678876288,"Dicrotendipes","glm"
"5",5,0.843,0.57,0.566,0.776,0.795,0.478636417252658,"Dicrotendipes","glm"
"6",6,0.738,0.475,0.486,0.564,0.911,1,"Dicrotendipes","glm"
"7",7,0.891,0.662,0.656,0.767,0.895,0.604631230806108,"Dicrotendipes","glm"
"8",8,0.899,0.644,0.655,0.735,0.909,0.544154929515281,"Dicrotendipes","glm"
"9",9,0.697,0.394,0.415,0.977,0.417,1,"Dicrotendipes","glm"
"10",10,0.611,0.222,0.217,0.333,0.889,1,"Dicrotendipes","glm"
"11",11,0.936,0.729,0.725,0.892,0.837,0.625,"Dicrotendipes","tree"
"12",12,0.958,0.75,0.75,0.95,0.8,0.571428571428571,"Dicrotendipes","tree"
"13",13,0.95,0.747,0.755,0.977,0.769,0.555555555555556,"Dicrotendipes","tree"
"14",14,0.968,0.85,0.85,0.875,0.975,0.888888888888889,"Dicrotendipes","tree"
"15",15,0.952,0.76,0.75,0.837,0.923,0.6,"Dicrotendipes","tree"
"16",16,0.935,0.768,0.762,0.923,0.844,0.5,"Dicrotendipes","tree"
"17",17,0.955,0.772,0.776,0.93,0.842,0.6,"Dicrotendipes","tree"
"18",18,0.969,0.778,0.789,0.824,0.955,0.666666666666667,"Dicrotendipes","tree"
"19",19,0.949,0.793,0.797,0.932,0.861,0.6,"Dicrotendipes","tree"
"20",20,0.975,0.833,0.839,1,0.833,0.6,"Dicrotendipes","tree"
"21",21,0.881,0.629,0.625,0.838,0.791,0.429964510876164,"Dicrotendipes","brt"
"22",22,0.94,0.75,0.75,0.875,0.875,0.456328093808073,"Dicrotendipes","brt"
"23",23,0.954,0.861,0.856,0.886,0.974,0.515649747442335,"Dicrotendipes","brt"
"24",24,0.916,0.775,0.775,0.925,0.85,0.498098982165051,"Dicrotendipes","brt"
"25",25,0.969,0.841,0.839,0.918,0.923,0.524846638437906,"Dicrotendipes","brt"
"26",26,0.947,0.783,0.784,0.872,0.911,0.43484619225481,"Dicrotendipes","brt"
"27",27,0.96,0.793,0.8,0.977,0.816,0.483197556103759,"Dicrotendipes","brt"
"28",28,0.965,0.811,0.796,0.971,0.841,0.414446217690378,"Dicrotendipes","brt"
"29",29,0.972,0.848,0.848,0.932,0.917,0.541189962668868,"Dicrotendipes","brt"
"30",30,0.957,0.793,0.788,0.821,0.972,0.535045486416922,"Dicrotendipes","brt"
"31",31,0.835,0.541,0.558,0.541,1,0.86395900841831,"Dicrotendipes","fda"
"32",32,0.899,0.675,0.675,0.8,0.875,0.308875643569405,"Dicrotendipes","fda"
"33",33,0.838,0.573,0.568,0.727,0.846,0.414755055260974,"Dicrotendipes","fda"
"34",34,0.791,0.45,0.45,0.55,0.9,0.564074797315169,"Dicrotendipes","fda"
"35",35,0.824,0.524,0.532,0.857,0.667,0.462699223934482,"Dicrotendipes","fda"
"36",36,0.789,0.479,0.488,0.59,0.889,0.472600840399114,"Dicrotendipes","fda"
"37",37,0.829,0.513,0.509,0.698,0.816,0.499346295850038,"Dicrotendipes","fda"
"38",38,0.835,0.527,0.543,0.618,0.909,0.361300712994271,"Dicrotendipes","fda"
"39",39,0.903,0.689,0.677,0.773,0.917,0.573446119500658,"Dicrotendipes","fda"
"40",40,0.814,0.549,0.547,0.744,0.806,0.535666451397194,"Dicrotendipes","fda"
"41",41,0.817,0.548,0.562,0.595,0.953,0.58455890417099,"Dicrotendipes","rbf"
"42",42,0.876,0.6,0.6,0.8,0.8,0.430043518543243,"Dicrotendipes","rbf"
"43",43,0.805,0.491,0.48,0.568,0.923,0.509087800979614,"Dicrotendipes","rbf"
"44",44,0.728,0.35,0.35,0.675,0.675,0.418482601642609,"Dicrotendipes","rbf"
"45",45,0.731,0.376,0.377,0.735,0.641,0.499330878257751,"Dicrotendipes","rbf"
"46",46,0.768,0.453,0.462,0.564,0.889,0.470293283462524,"Dicrotendipes","rbf"
"47",47,0.737,0.36,0.35,0.465,0.895,0.58792644739151,"Dicrotendipes","rbf"
"48",48,0.713,0.368,0.37,0.618,0.75,0.390068888664246,"Dicrotendipes","rbf"
"49",49,0.905,0.699,0.716,0.977,0.722,0.484429717063904,"Dicrotendipes","rbf"
"50",50,0.749,0.423,0.43,0.923,0.5,0.484021365642548,"Dicrotendipes","rbf"
