"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.718,0.437,0.512,0.471,0.966,1,"Empididae","glm"
"2",2,0.725,0.45,0.468,0.556,0.895,1,"Empididae","glm"
"3",3,0.686,0.371,0.433,0.421,0.95,1,"Empididae","glm"
"4",4,0.624,0.248,0.32,0.278,0.971,1,"Empididae","glm"
"5",5,0.643,0.285,0.302,0.421,0.864,1,"Empididae","glm"
"6",6,0.714,0.429,0.436,0.55,0.879,1,"Empididae","glm"
"7",7,0.63,0.261,0.338,0.278,0.983,1,"Empididae","glm"
"8",8,0.659,0.317,0.416,0.333,0.984,1,"Empididae","glm"
"9",9,0.851,0.701,0.738,0.733,0.968,1,"Empididae","glm"
"10",10,0.75,0.5,0.538,0.562,0.938,1,"Empididae","glm"
"11",11,0.981,0.832,0.814,0.882,0.949,0.5,"Empididae","tree"
"12",12,0.949,0.787,0.683,0.944,0.842,0.4,"Empididae","tree"
"13",13,0.946,0.8,0.658,1,0.8,0.4,"Empididae","tree"
"14",14,0.94,0.765,0.576,1,0.765,0.25,"Empididae","tree"
"15",15,0.97,0.847,0.73,1,0.847,0.375,"Empididae","tree"
"16",16,0.944,0.738,0.602,0.95,0.788,0.285714285714286,"Empididae","tree"
"17",17,0.947,0.734,0.647,0.889,0.845,0.333333333333333,"Empididae","tree"
"18",18,0.966,0.825,0.602,1,0.825,0.2,"Empididae","tree"
"19",19,0.96,0.804,0.683,0.933,0.871,0.4,"Empididae","tree"
"20",20,0.932,0.703,0.529,0.938,0.766,0.2,"Empididae","tree"
"21",21,0.977,0.864,0.74,1,0.864,0.247873090664884,"Empididae","brt"
"22",22,0.942,0.763,0.749,0.833,0.93,0.325642068899477,"Empididae","brt"
"23",23,0.948,0.833,0.706,1,0.833,0.270921907524044,"Empididae","brt"
"24",24,0.936,0.771,0.687,0.889,0.882,0.264566111651615,"Empididae","brt"
"25",25,0.947,0.827,0.798,0.895,0.932,0.275260735572802,"Empididae","brt"
"26",26,0.957,0.839,0.811,0.9,0.939,0.250777635265071,"Empididae","brt"
"27",27,0.932,0.72,0.586,0.944,0.776,0.22840405478637,"Empididae","brt"
"28",28,0.942,0.841,0.629,1,0.841,0.168363877560286,"Empididae","brt"
"29",29,0.97,0.903,0.784,1,0.903,0.196867392127833,"Empididae","brt"
"30",30,0.935,0.797,0.671,0.938,0.859,0.257116593537457,"Empididae","brt"
"31",31,0.892,0.645,0.516,0.882,0.763,0.0826226614436265,"Empididae","fda"
"32",32,0.837,0.52,0.587,0.556,0.965,0.307422950278448,"Empididae","fda"
"33",33,0.848,0.604,0.573,0.737,0.867,0.156464723713796,"Empididae","fda"
"34",34,0.838,0.631,0.562,0.778,0.853,0.216515905414723,"Empididae","fda"
"35",35,0.908,0.756,0.784,0.789,0.966,0.253851141710455,"Empididae","fda"
"36",36,0.851,0.597,0.454,0.9,0.697,0.152035944643891,"Empididae","fda"
"37",37,0.818,0.533,0.478,0.722,0.81,0.163318085519997,"Empididae","fda"
"38",38,0.864,0.595,0.414,0.833,0.762,0.0181436924147387,"Empididae","fda"
"39",39,0.895,0.719,0.685,0.8,0.919,0.136068148006939,"Empididae","fda"
"40",40,0.838,0.688,0.688,0.75,0.938,0.149324132276348,"Empididae","fda"
"41",41,0.881,0.604,0.592,0.706,0.898,0.274468660354614,"Empididae","rbf"
"42",42,0.845,0.561,0.381,1,0.561,0.238813653588295,"Empididae","rbf"
"43",43,0.875,0.642,0.553,0.842,0.8,0.247449263930321,"Empididae","rbf"
"44",44,0.819,0.66,0.61,0.778,0.882,0.36900594830513,"Empididae","rbf"
"45",45,0.876,0.705,0.692,0.789,0.915,0.345931500196457,"Empididae","rbf"
"46",46,0.878,0.612,0.472,0.9,0.712,0.231214195489883,"Empididae","rbf"
"47",47,0.854,0.571,0.495,0.778,0.793,0.235780492424965,"Empididae","rbf"
"48",48,0.831,0.544,0.407,0.75,0.794,0.199117660522461,"Empididae","rbf"
"49",49,0.925,0.784,0.826,0.8,0.984,0.348759174346924,"Empididae","rbf"
"50",50,0.854,0.578,0.354,1,0.578,0.166866779327393,"Empididae","rbf"
