"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.881,0.613,0.589,0.722,0.891,0.266829150288124,"Ephydridae","glm"
"2",2,0.938,0.857,0.908,0.857,1,0.551995427705019,"Ephydridae","glm"
"3",3,0.831,0.584,0.546,0.667,0.918,0.240688815461213,"Ephydridae","glm"
"4",4,0.886,0.706,0.706,0.75,0.956,0.299374902078352,"Ephydridae","glm"
"5",5,0.85,0.7,0.749,0.714,0.986,1,"Ephydridae","glm"
"6",6,0.828,0.655,0.655,0.7,0.955,1,"Ephydridae","glm"
"7",7,0.921,0.803,0.835,0.818,0.985,0.344489962755273,"Ephydridae","glm"
"8",8,0.625,0.25,0.36,0.25,1,1,"Ephydridae","glm"
"9",9,0.675,0.35,0.455,0.364,0.986,1,"Ephydridae","glm"
"10",10,0.793,0.586,0.512,0.714,0.871,1,"Ephydridae","glm"
"11",11,0.914,0.701,0.585,0.889,0.812,0.375,"Ephydridae","tree"
"12",12,0.974,0.894,0.747,1,0.894,0.4,"Ephydridae","tree"
"13",13,0.937,0.74,0.445,1,0.74,0.142857142857143,"Ephydridae","tree"
"14",14,0.967,0.897,0.723,1,0.897,0.428571428571429,"Ephydridae","tree"
"15",15,0.933,0.792,0.402,1,0.792,0.2,"Ephydridae","tree"
"16",16,0.942,0.806,0.519,1,0.806,0.222222222222222,"Ephydridae","tree"
"17",17,0.966,0.853,0.618,1,0.853,0.2,"Ephydridae","tree"
"18",18,0.949,0.754,0.488,1,0.754,0.166666666666667,"Ephydridae","tree"
"19",19,0.932,0.778,0.481,1,0.778,0.2,"Ephydridae","tree"
"20",20,0.956,0.857,0.667,1,0.857,0.2,"Ephydridae","tree"
"21",21,0.945,0.741,0.598,0.944,0.797,0.216445871370544,"Ephydridae","brt"
"22",22,0.971,0.864,0.689,1,0.864,0.191917070349326,"Ephydridae","brt"
"23",23,0.967,0.945,0.83,1,0.945,0.18145982469006,"Ephydridae","brt"
"24",24,0.933,0.77,0.588,0.917,0.853,0.176896526657166,"Ephydridae","brt"
"25",25,0.954,0.802,0.672,0.857,0.944,0.131809605977336,"Ephydridae","brt"
"26",26,0.976,0.896,0.69,1,0.896,0.154498258719163,"Ephydridae","brt"
"27",27,0.939,0.759,0.706,0.818,0.941,0.183527307473117,"Ephydridae","brt"
"28",28,0.917,0.772,0.723,0.833,0.938,0.240641800130722,"Ephydridae","brt"
"29",29,0.932,0.812,0.659,0.909,0.903,0.159641865955921,"Ephydridae","brt"
"30",30,0.947,0.771,0.6,0.929,0.843,0.187587164810008,"Ephydridae","brt"
"31",31,0.786,0.564,0.613,0.611,0.953,0.347357331299183,"Ephydridae","fda"
"32",32,0.902,0.781,0.721,0.857,0.924,0.254071891355804,"Ephydridae","fda"
"33",33,0.759,0.447,0.316,0.667,0.781,0.0528775081313575,"Ephydridae","fda"
"34",34,0.841,0.667,0.773,0.667,1,0.444775281570554,"Ephydridae","fda"
"35",35,0.831,0.7,0.749,0.714,0.986,0.0271453711746962,"Ephydridae","fda"
"36",36,0.842,0.625,0.576,0.7,0.925,0.0425292417689208,"Ephydridae","fda"
"37",37,0.798,0.527,0.27,0.909,0.618,0.0295594589951049,"Ephydridae","fda"
"38",38,0.892,0.662,0.379,1,0.662,0.0639703399558704,"Ephydridae","fda"
"39",39,0.861,0.639,0.319,1,0.639,0.0281204959317429,"Ephydridae","fda"
"40",40,0.75,0.471,0.344,0.714,0.757,0.0847741191848896,"Ephydridae","fda"
"41",41,0.738,0.432,0.366,0.667,0.766,0.234794095158577,"Ephydridae","rbf"
"42",42,0.877,0.736,0.63,0.857,0.879,0.328874409198761,"Ephydridae","rbf"
"43",43,0.775,0.612,0.612,0.667,0.945,0.277137488126755,"Ephydridae","rbf"
"44",44,0.887,0.657,0.489,0.833,0.824,0.155948281288147,"Ephydridae","rbf"
"45",45,0.849,0.677,0.381,0.857,0.819,0.158056929707527,"Ephydridae","rbf"
"46",46,0.846,0.655,0.655,0.7,0.955,0.349027752876282,"Ephydridae","rbf"
"47",47,0.75,0.453,0.211,0.909,0.544,0.113896898925304,"Ephydridae","rbf"
"48",48,0.844,0.569,0.292,1,0.569,0.186035573482513,"Ephydridae","rbf"
"49",49,0.506,0.197,0.165,0.364,0.833,0.552480638027191,"Ephydridae","rbf"
"50",50,0.741,0.586,0.446,0.786,0.8,0.231953501701355,"Ephydridae","rbf"
