"","Micropsectra","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.37044,0.32207992171946,0.41880007828054,"DS_Tim",0.08328,0.0563023425553663,0.110257657444634
"DS_Mag_50","DS_Mag_50",0.26754,0.222761913609445,0.312318086390555,"DS_Mag_50",0.0926,0.0642764740895488,0.120923525910451
"DS_Mag_90","DS_Mag_90",0.25366,0.223709922916627,0.283610077083373,"DS_Mag_90",0.07668,0.0538541400775349,0.0995058599224651
"SP_ROC","SP_ROC",0.10498,0.0543564852691953,0.155603514730805,"SP_ROC",0.04428,0.0229758052675066,0.0655841947324934
"SP_Dur","SP_Dur",0.41678,0.288431202016926,0.545128797983074,"SP_Dur",0.0542,0.0268579121865209,0.081542087813479
"SP_Mag","SP_Mag",0.24446,0.122295950925405,0.366624049074595,"SP_Mag",0.08196,0.0369893493620561,0.126930650637944
"SP_Tim","SP_Tim",0.30164,0.201271016525024,0.402008983474976,"SP_Tim",0.09548,0.0733544950520898,0.11760550494791
"Wet_BFL_Dur","Wet_BFL_Dur",0.4099,0.27134983773557,0.54845016226443,"Wet_BFL_Dur",0.06928,0.0396627850870478,0.0988972149129522
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.26918,0.154847461986099,0.3835125380139,"Wet_BFL_Mag_10",0.10892,0.0418354530521373,0.176004546947863
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.11296,0.0623722922608664,0.163547707739134,"Wet_BFL_Mag_50",0.04928,0.0265439366380193,0.0720160633619807
"Wet_Tim","Wet_Tim",0.48256,0.368259831993562,0.596860168006438,"Wet_Tim",0.09972,0.0771974123777928,0.122242587622207
"DS_Dur_WS","DS_Dur_WS",0.15578,0.106000540905912,0.205559459094088,"DS_Dur_WS",0.00492,0.00336337249157032,0.00647662750842968
"Q99","Q99",0.26796,0.165376708888338,0.370543291111662,"Q99",0.09772,0.0361711392046936,0.159268860795306
"FA_Dur","FA_Dur",0.22692,0.156461557530698,0.297378442469302,"FA_Dur",0.00768,0.0030632741905112,0.0122967258094888
"FA_Mag","FA_Mag",0.21888,0.164407486553308,0.273352513446692,"FA_Mag",0.0634,0.0451062583378905,0.0816937416621095
"FA_Tim","FA_Tim",0.326,0.239340303352712,0.412659696647288,"FA_Tim",0.09108,0.0623568369569088,0.119803163043091
