"","Muscidae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.4286,0.331217138160763,0.525982861839237,"DS_Tim",0.2374,0.176117707712586,0.298682292287414
"DS_Mag_50","DS_Mag_50",0.29408,0.195888869556869,0.392271130443131,"DS_Mag_50",0.16336,0.0952058297182043,0.231514170281796
"DS_Mag_90","DS_Mag_90",0.48092,0.446612538811506,0.515227461188494,"DS_Mag_90",0.26588,0.232028935951731,0.299731064048269
"SP_ROC","SP_ROC",0.17616,0.0446033375639987,0.307716662436001,"SP_ROC",0.10288,0.0351885758371121,0.170571424162888
"SP_Dur","SP_Dur",0.38306,0.267163710867,0.498956289133,"SP_Dur",0.15552,0.095704642095863,0.215335357904137
"SP_Mag","SP_Mag",0.62164,0.547675708373567,0.695604291626433,"SP_Mag",0.40596,0.313836106146125,0.498083893853875
"SP_Tim","SP_Tim",0.46126,0.39832297053165,0.52419702946835,"SP_Tim",0.22328,0.18091204863107,0.26564795136893
"Wet_BFL_Dur","Wet_BFL_Dur",0.4459,0.38747741897605,0.50432258102395,"Wet_BFL_Dur",0.27756,0.229030779969177,0.326089220030823
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.14578,0.0566986374335237,0.234861362566476,"Wet_BFL_Mag_10",0.0898,0.0253547722946067,0.154245227705393
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.26178,0.168006325052283,0.355553674947717,"Wet_BFL_Mag_50",0.14048,0.0783302806024034,0.202629719397597
"Wet_Tim","Wet_Tim",0.43358,0.283581077868206,0.583578922131794,"Wet_Tim",0.24388,0.153173929557058,0.334586070442942
"DS_Dur_WS","DS_Dur_WS",0.2289,0.147321673396055,0.310478326603945,"DS_Dur_WS",0.0998,0.0494892395605075,0.150110760439492
"Q99","Q99",0.51366,0.421008621096068,0.606311378903932,"Q99",0.355,0.259949270039626,0.450050729960374
"FA_Dur","FA_Dur",0.10748,0.0493540672874835,0.165605932712517,"FA_Dur",0.04752,0.0301890110149478,0.0648509889850522
"FA_Mag","FA_Mag",0.29176,0.218767533581883,0.364752466418117,"FA_Mag",0.14112,0.0986278396265852,0.183612160373415
"FA_Tim","FA_Tim",0.18082,0.121619062636644,0.240020937363356,"FA_Tim",0.06736,0.0486744296635077,0.0860455703364923
