"","Pagastia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.49155,0.378639308753924,0.604460691246076,"DS_Tim",0.1185,0.0498729153467816,0.187127084653218
"DS_Mag_50","DS_Mag_50",0.318025,0.187925393066505,0.448124606933495,"DS_Mag_50",0.0599,0.031387950219834,0.088412049780166
"DS_Mag_90","DS_Mag_90",0.483075,0.416734605018888,0.549415394981112,"DS_Mag_90",0.1052,0.0612755151955844,0.149124484804416
"SP_ROC","SP_ROC",0.55405,0.390928847902344,0.717171152097656,"SP_ROC",0.11565,0.0687673097366061,0.162532690263394
"SP_Dur","SP_Dur",0.28125,0.126052766361639,0.436447233638361,"SP_Dur",0.09345,0.0327622586925498,0.15413774130745
"SP_Mag","SP_Mag",0.359225,0.249336469396256,0.469113530603744,"SP_Mag",0.094,0.0475688176042579,0.140431182395742
"SP_Tim","SP_Tim",0.54505,0.489856355628569,0.600243644371431,"SP_Tim",0.19645,0.0918417630601363,0.301058236939864
"Wet_BFL_Dur","Wet_BFL_Dur",0.7438,0.684191693006204,0.803408306993796,"Wet_BFL_Dur",0.2732,0.115579721423077,0.430820278576923
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.3466,0.175605323131586,0.517594676868414,"Wet_BFL_Mag_10",0.17705,0.0293499569273365,0.324750043072664
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.119,0.0479107995496737,0.190089200450326,"Wet_BFL_Mag_50",0.02425,0.00756247225220784,0.0409375277477922
"Wet_Tim","Wet_Tim",0.620675,0.511531620990628,0.729818379009372,"Wet_Tim",0.2223,0.0823089409188335,0.362291059081167
"DS_Dur_WS","DS_Dur_WS",0.39525,0.340011755727274,0.450488244272726,"DS_Dur_WS",0.05,0.0228081049820601,0.0771918950179399
"Q99","Q99",0.571225,0.51907978453156,0.62337021546844,"Q99",0.2025,0.103042391576444,0.301957608423556
"FA_Dur","FA_Dur",0.166325,0.0654134575106329,0.267236542489367,"FA_Dur",0.03735,0.00658035385860496,0.068119646141395
"FA_Mag","FA_Mag",0.398675,0.333621397586939,0.463728602413061,"FA_Mag",0.115,0.0360391187992434,0.193960881200757
"FA_Tim","FA_Tim",0.310325,0.201060988747819,0.419589011252181,"FA_Tim",0.0402,0.0161078073503745,0.0642921926496254
