"","Parametriocnemus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.24098,0.142379310011542,0.339580689988458,"DS_Tim",0.1496,0.0571177473674003,0.2420822526326
"DS_Mag_50","DS_Mag_50",0.22814,0.193530220879064,0.262749779120936,"DS_Mag_50",0.16264,0.110034333909739,0.215245666090261
"DS_Mag_90","DS_Mag_90",0.22052,0.158761458617451,0.282278541382549,"DS_Mag_90",0.11684,0.0501420034723681,0.183537996527632
"SP_ROC","SP_ROC",0.05232,0.0185104012342648,0.0861295987657351,"SP_ROC",0.03544,0.00215558723967028,0.0687244127603297
"SP_Dur","SP_Dur",0.14198,0.0981924007885794,0.185767599211421,"SP_Dur",0.09372,0.0420825268898642,0.145357473110136
"SP_Mag","SP_Mag",0.24184,0.163113378741369,0.320566621258631,"SP_Mag",0.20368,0.11303885751382,0.29432114248618
"SP_Tim","SP_Tim",0.26956,0.226756619417387,0.312363380582613,"SP_Tim",0.1622,0.092944744444916,0.231455255555084
"Wet_BFL_Dur","Wet_BFL_Dur",0.49004,0.359961266986874,0.620118733013125,"Wet_BFL_Dur",0.26616,0.154767331018599,0.377552668981401
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.3811,0.251162934000725,0.511037065999275,"Wet_BFL_Mag_10",0.3,0.139233979454612,0.460766020545388
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.22934,0.145850293459014,0.312829706540986,"Wet_BFL_Mag_50",0.18776,0.0876468146306392,0.287873185369361
"Wet_Tim","Wet_Tim",0.33866,0.207909371042431,0.469410628957569,"Wet_Tim",0.1536,0.0774454554343603,0.22975454456564
"DS_Dur_WS","DS_Dur_WS",0.34876,0.306148426856076,0.391371573143924,"DS_Dur_WS",0.16704,0.108381641765218,0.225698358234782
"Q99","Q99",0.4763,0.375817922073138,0.576782077926862,"Q99",0.35208,0.191662566997224,0.512497433002776
"FA_Dur","FA_Dur",0.16576,0.0815609629580005,0.249959037041999,"FA_Dur",0.03112,0.00265217231329373,0.0595878276867063
"FA_Mag","FA_Mag",0.16964,0.129384202165402,0.209895797834598,"FA_Mag",0.12568,0.0733824397968701,0.17797756020313
"FA_Tim","FA_Tim",0.15084,0.107827452234261,0.193852547765739,"FA_Tim",0.04964,0.0223247611249691,0.0769552388750309
