"","Phaenopsectra","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.2571,0.229618578139041,0.284581421860959,"DS_Tim",0.12004,0.0983043820699755,0.141775617930024
"DS_Mag_50","DS_Mag_50",0.4176,0.325293044896389,0.509906955103611,"DS_Mag_50",0.21336,0.158811250951099,0.267908749048901
"DS_Mag_90","DS_Mag_90",0.56924,0.486670030357278,0.651809969642722,"DS_Mag_90",0.31328,0.258136661805799,0.368423338194201
"SP_ROC","SP_ROC",0.12996,0.0789793723479202,0.18094062765208,"SP_ROC",0.0448,0.0290523117252087,0.0605476882747913
"SP_Dur","SP_Dur",0.26662,0.169299817215544,0.363940182784456,"SP_Dur",0.13684,0.0901863179931101,0.18349368200689
"SP_Mag","SP_Mag",0.51262,0.404505092615773,0.620734907384227,"SP_Mag",0.32356,0.226495652761686,0.420624347238314
"SP_Tim","SP_Tim",0.39836,0.286294768561788,0.510425231438212,"SP_Tim",0.17344,0.135101866414756,0.211778133585244
"Wet_BFL_Dur","Wet_BFL_Dur",0.24802,0.169275998357335,0.326764001642665,"Wet_BFL_Dur",0.12036,0.0819236054136187,0.158796394586381
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.4064,0.303925365014068,0.508874634985932,"Wet_BFL_Mag_10",0.22784,0.166175358212343,0.289504641787657
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.39568,0.310908864227262,0.480451135772738,"Wet_BFL_Mag_50",0.19568,0.139093438810969,0.252266561189031
"Wet_Tim","Wet_Tim",0.30942,0.144972111145506,0.473867888854494,"Wet_Tim",0.164,0.0574819565988935,0.270518043401106
"DS_Dur_WS","DS_Dur_WS",0.30414,0.207962245044397,0.400317754955603,"DS_Dur_WS",0.14612,0.104537467114184,0.187702532885816
"Q99","Q99",0.42732,0.310715187900756,0.543924812099244,"Q99",0.24272,0.161574088549083,0.323865911450917
"FA_Dur","FA_Dur",0.10314,0.0622740940049043,0.144005905995096,"FA_Dur",0.054,0.0222024354706213,0.0857975645293787
"FA_Mag","FA_Mag",0.46128,0.309533687215471,0.613026312784529,"FA_Mag",0.26168,0.171309370273302,0.352050629726698
"FA_Tim","FA_Tim",0.26198,0.155582283014625,0.368377716985375,"FA_Tim",0.1576,0.0753601598615367,0.239839840138463
