"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.839,0.541,0.493,0.906,0.635,0.361389388462769,"Pseudochironomus","glm"
"2",2,0.551,0.101,0.114,0.219,0.882,1,"Pseudochironomus","glm"
"3",3,0.616,0.232,0.214,0.865,0.367,1,"Pseudochironomus","glm"
"4",4,0.727,0.455,0.463,0.629,0.826,1,"Pseudochironomus","glm"
"5",5,0.671,0.342,0.291,0.852,0.49,1,"Pseudochironomus","glm"
"6",6,0.685,0.371,0.399,0.469,0.902,1,"Pseudochironomus","glm"
"7",7,0.944,0.735,0.684,0.964,0.771,0.337908795500567,"Pseudochironomus","glm"
"8",8,0.815,0.511,0.521,0.657,0.854,0.449069280457891,"Pseudochironomus","glm"
"9",9,0.91,0.696,0.664,1,0.696,0.285689173243175,"Pseudochironomus","glm"
"10",10,0.611,0.221,0.228,0.371,0.85,1,"Pseudochironomus","glm"
"11",11,0.968,0.791,0.777,0.906,0.885,0.428571428571429,"Pseudochironomus","tree"
"12",12,0.93,0.722,0.686,0.938,0.784,0.5,"Pseudochironomus","tree"
"13",13,0.964,0.796,0.789,0.919,0.878,0.6,"Pseudochironomus","tree"
"14",14,0.97,0.82,0.823,0.886,0.935,0.6,"Pseudochironomus","tree"
"15",15,0.974,0.824,0.804,0.926,0.898,0.4,"Pseudochironomus","tree"
"16",16,0.929,0.671,0.638,0.906,0.765,0.444444444444444,"Pseudochironomus","tree"
"17",17,0.981,0.866,0.86,0.929,0.938,0.4,"Pseudochironomus","tree"
"18",18,0.982,0.844,0.851,0.886,0.958,0.6,"Pseudochironomus","tree"
"19",19,0.966,0.777,0.774,0.886,0.891,0.5,"Pseudochironomus","tree"
"20",20,0.96,0.836,0.839,0.886,0.95,0.8,"Pseudochironomus","tree"
"21",21,0.931,0.709,0.701,0.844,0.865,0.408931396915584,"Pseudochironomus","brt"
"22",22,0.906,0.702,0.664,0.938,0.765,0.373680508788309,"Pseudochironomus","brt"
"23",23,0.926,0.749,0.742,0.892,0.857,0.409702512187261,"Pseudochironomus","brt"
"24",24,0.947,0.777,0.774,0.886,0.891,0.421708523487742,"Pseudochironomus","brt"
"25",25,0.943,0.841,0.807,0.963,0.878,0.384278847065424,"Pseudochironomus","brt"
"26",26,0.895,0.686,0.628,1,0.686,0.314431448932438,"Pseudochironomus","brt"
"27",27,0.954,0.881,0.862,0.964,0.917,0.4029869986972,"Pseudochironomus","brt"
"28",28,0.93,0.753,0.753,0.857,0.896,0.443680901576798,"Pseudochironomus","brt"
"29",29,0.919,0.719,0.704,0.914,0.804,0.438313554873954,"Pseudochironomus","brt"
"30",30,0.901,0.718,0.709,0.943,0.775,0.445216844869384,"Pseudochironomus","brt"
"31",31,0.792,0.466,0.493,0.562,0.904,0.402975546010002,"Pseudochironomus","fda"
"32",32,0.774,0.487,0.434,0.938,0.549,0.285278786193426,"Pseudochironomus","fda"
"33",33,0.821,0.559,0.554,0.784,0.776,0.374296294877995,"Pseudochironomus","fda"
"34",34,0.874,0.592,0.611,0.657,0.935,0.647969335811049,"Pseudochironomus","fda"
"35",35,0.843,0.633,0.55,1,0.633,0.281711460954888,"Pseudochironomus","fda"
"36",36,0.838,0.569,0.541,0.844,0.725,0.240037289889723,"Pseudochironomus","fda"
"37",37,0.853,0.515,0.489,0.786,0.729,0.332536965601672,"Pseudochironomus","fda"
"38",38,0.793,0.526,0.492,0.943,0.583,0.376483540914484,"Pseudochironomus","fda"
"39",39,0.794,0.48,0.453,0.914,0.565,0.387123956936415,"Pseudochironomus","fda"
"40",40,0.826,0.554,0.549,0.829,0.725,0.364378529066576,"Pseudochironomus","fda"
"41",41,0.809,0.51,0.529,0.625,0.885,0.428933203220367,"Pseudochironomus","rbf"
"42",42,0.825,0.616,0.56,0.969,0.647,0.37144923210144,"Pseudochironomus","rbf"
"43",43,0.805,0.579,0.562,0.865,0.714,0.422337055206299,"Pseudochironomus","rbf"
"44",44,0.856,0.63,0.596,1,0.63,0.316958248615265,"Pseudochironomus","rbf"
"45",45,0.829,0.616,0.544,0.963,0.653,0.356596946716309,"Pseudochironomus","rbf"
"46",46,0.605,0.312,0.329,0.469,0.843,0.375709414482117,"Pseudochironomus","rbf"
"47",47,0.468,0.134,0.111,0.821,0.312,-0.825459480285645,"Pseudochironomus","rbf"
"48",48,0.743,0.443,0.438,0.714,0.729,0.40637069940567,"Pseudochironomus","rbf"
"49",49,0.782,0.493,0.46,0.971,0.522,0.34671813249588,"Pseudochironomus","rbf"
"50",50,0.72,0.404,0.418,0.429,0.975,0.594822764396667,"Pseudochironomus","rbf"
