"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.879,0.759,0.598,1,0.759,1,"Stempellinella","glm"
"2",2,0.571,0.143,0.216,0.143,1,1,"Stempellinella","glm"
"3",3,0.666,0.332,0.351,0.429,0.903,1,"Stempellinella","glm"
"4",4,0.628,0.257,0.348,0.273,0.984,1,"Stempellinella","glm"
"5",5,0.728,0.456,0.52,0.5,0.956,1,"Stempellinella","glm"
"6",6,0.667,0.333,0.444,0.333,1,1,"Stempellinella","glm"
"7",7,0.694,0.389,0.496,0.389,1,1,"Stempellinella","glm"
"8",8,0.669,0.339,0.417,0.368,0.97,1,"Stempellinella","glm"
"9",9,0.867,0.734,0.786,0.75,0.984,1,"Stempellinella","glm"
"10",10,0.784,0.568,0.476,0.96,0.608,1,"Stempellinella","glm"
"11",11,0.973,0.824,0.739,0.944,0.879,0.4,"Stempellinella","tree"
"12",12,0.966,0.806,0.589,1,0.806,0.2,"Stempellinella","tree"
"13",13,0.975,0.839,0.657,1,0.839,0.25,"Stempellinella","tree"
"14",14,0.964,0.794,0.533,1,0.794,0.166666666666667,"Stempellinella","tree"
"15",15,0.963,0.783,0.65,0.944,0.838,0.3,"Stempellinella","tree"
"16",16,0.962,0.764,0.624,0.933,0.831,0.222222222222222,"Stempellinella","tree"
"17",17,0.976,0.82,0.674,1,0.82,0.25,"Stempellinella","tree"
"18",18,0.947,0.753,0.614,0.947,0.806,0.333333333333333,"Stempellinella","tree"
"19",19,0.976,0.868,0.813,0.95,0.918,0.5,"Stempellinella","tree"
"20",20,0.967,0.823,0.775,0.96,0.863,0.5,"Stempellinella","tree"
"21",21,0.974,0.897,0.804,1,0.897,0.296609604781094,"Stempellinella","brt"
"22",22,0.961,0.821,0.613,1,0.821,0.21502647071301,"Stempellinella","brt"
"23",23,0.96,0.871,0.713,1,0.871,0.217597899517574,"Stempellinella","brt"
"24",24,0.939,0.798,0.651,0.909,0.889,0.215755058738381,"Stempellinella","brt"
"25",25,0.941,0.775,0.759,0.833,0.941,0.297549827014792,"Stempellinella","brt"
"26",26,0.95,0.783,0.824,0.8,0.983,0.396896415875673,"Stempellinella","brt"
"27",27,0.925,0.721,0.541,1,0.721,0.191395216518122,"Stempellinella","brt"
"28",28,0.929,0.731,0.625,0.895,0.836,0.241298325482665,"Stempellinella","brt"
"29",29,0.987,0.934,0.934,0.95,0.984,0.339884369291192,"Stempellinella","brt"
"30",30,0.949,0.784,0.724,0.96,0.824,0.335624519512745,"Stempellinella","brt"
"31",31,0.911,0.776,0.621,1,0.776,0.250929143471282,"Stempellinella","fda"
"32",32,0.929,0.821,0.613,1,0.821,0.189722039776267,"Stempellinella","fda"
"33",33,0.879,0.742,0.514,1,0.742,0.102567568591575,"Stempellinella","fda"
"34",34,0.908,0.719,0.509,0.909,0.81,0.203595509057035,"Stempellinella","fda"
"35",35,0.917,0.779,0.597,1,0.779,0.122760982544632,"Stempellinella","fda"
"36",36,0.87,0.746,0.543,1,0.746,0.247892546523641,"Stempellinella","fda"
"37",37,0.898,0.754,0.583,1,0.754,0.14105411425717,"Stempellinella","fda"
"38",38,0.825,0.597,0.396,1,0.597,0.156473283662509,"Stempellinella","fda"
"39",39,0.91,0.717,0.755,0.75,0.967,0.388058127280022,"Stempellinella","fda"
"40",40,0.936,0.705,0.628,0.96,0.745,0.39146048604153,"Stempellinella","fda"
"41",41,0.893,0.776,0.621,1,0.776,0.329177975654602,"Stempellinella","rbf"
"42",42,0.888,0.791,0.567,1,0.791,0.264623194932938,"Stempellinella","rbf"
"43",43,0.873,0.719,0.54,0.929,0.79,0.213329896330833,"Stempellinella","rbf"
"44",44,0.934,0.766,0.589,0.909,0.857,0.327251017093658,"Stempellinella","rbf"
"45",45,0.903,0.706,0.501,1,0.706,0.241353362798691,"Stempellinella","rbf"
"46",46,0.902,0.695,0.48,1,0.695,0.324894577264786,"Stempellinella","rbf"
"47",47,0.877,0.656,0.465,1,0.656,0.251378893852234,"Stempellinella","rbf"
"48",48,0.878,0.634,0.46,0.947,0.687,0.284816384315491,"Stempellinella","rbf"
"49",49,0.902,0.75,0.819,0.75,1,0.580073058605194,"Stempellinella","rbf"
"50",50,0.936,0.742,0.734,0.84,0.902,0.451571404933929,"Stempellinella","rbf"
