"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.684,0.367,0.345,0.609,0.759,1,"Tanytarsini","glm"
"2",2,0.805,0.501,0.358,0.895,0.607,0.230759454121291,"Tanytarsini","glm"
"3",3,0.626,0.251,0.288,0.333,0.918,1,"Tanytarsini","glm"
"4",4,0.599,0.198,0.241,0.263,0.934,1,"Tanytarsini","glm"
"5",5,0.812,0.607,0.407,0.929,0.678,0.197538339376476,"Tanytarsini","glm"
"6",6,0.734,0.467,0.541,0.5,0.967,1,"Tanytarsini","glm"
"7",7,0.802,0.518,0.366,0.889,0.629,0.205933652374479,"Tanytarsini","glm"
"8",8,0.559,0.118,0.118,0.222,0.896,1,"Tanytarsini","glm"
"9",9,0.919,0.69,0.754,0.706,0.984,0.656357246207459,"Tanytarsini","glm"
"10",10,0.862,0.66,0.66,0.737,0.923,0.282306895547523,"Tanytarsini","glm"
"11",11,0.975,0.828,0.732,1,0.828,0.375,"Tanytarsini","tree"
"12",12,0.977,0.813,0.771,0.895,0.918,0.333333333333333,"Tanytarsini","tree"
"13",13,0.962,0.786,0.654,0.933,0.852,0.2,"Tanytarsini","tree"
"14",14,0.977,0.852,0.733,1,0.852,0.4,"Tanytarsini","tree"
"15",15,0.936,0.691,0.511,0.929,0.763,0.2,"Tanytarsini","tree"
"16",16,0.949,0.77,0.605,1,0.77,0.285714285714286,"Tanytarsini","tree"
"17",17,0.984,0.88,0.831,0.944,0.935,0.5,"Tanytarsini","tree"
"18",18,0.96,0.881,0.636,1,0.881,0.4,"Tanytarsini","tree"
"19",19,0.986,0.893,0.856,0.941,0.952,0.6,"Tanytarsini","tree"
"20",20,0.968,0.824,0.729,0.947,0.877,0.333333333333333,"Tanytarsini","tree"
"21",21,0.963,0.835,0.846,0.87,0.966,0.411454952587095,"Tanytarsini","brt"
"22",22,0.956,0.849,0.778,0.947,0.902,0.273987444751492,"Tanytarsini","brt"
"23",23,0.946,0.767,0.787,0.8,0.967,0.261158507254082,"Tanytarsini","brt"
"24",24,0.927,0.76,0.734,0.842,0.918,0.27664583774915,"Tanytarsini","brt"
"25",25,0.935,0.714,0.802,0.714,1,0.31731169208463,"Tanytarsini","brt"
"26",26,0.957,0.774,0.705,0.889,0.885,0.274354653369557,"Tanytarsini","brt"
"27",27,0.956,0.839,0.701,1,0.839,0.211996952617851,"Tanytarsini","brt"
"28",28,0.967,0.896,0.67,1,0.896,0.155836545802352,"Tanytarsini","brt"
"29",29,0.923,0.684,0.67,0.765,0.919,0.260351466031828,"Tanytarsini","brt"
"30",30,0.962,0.87,0.81,0.947,0.923,0.260617736772548,"Tanytarsini","brt"
"31",31,0.815,0.543,0.417,0.957,0.586,0.306981840230469,"Tanytarsini","fda"
"32",32,0.684,0.356,0.284,0.684,0.672,0.264223052442161,"Tanytarsini","fda"
"33",33,0.783,0.539,0.371,0.867,0.672,0.172684427709713,"Tanytarsini","fda"
"34",34,0.729,0.57,0.408,0.947,0.623,0.261646448900851,"Tanytarsini","fda"
"35",35,0.718,0.441,0.232,1,0.441,0.165184899462047,"Tanytarsini","fda"
"36",36,0.774,0.47,0.421,0.667,0.803,0.201800204018072,"Tanytarsini","fda"
"37",37,0.632,0.38,0.227,0.944,0.435,0.229612119270544,"Tanytarsini","fda"
"38",38,0.852,0.761,0.43,1,0.761,0.131950433821719,"Tanytarsini","fda"
"39",39,0.816,0.566,0.579,0.647,0.919,0.33868278972756,"Tanytarsini","fda"
"40",40,0.779,0.484,0.428,0.684,0.8,0.201598414639044,"Tanytarsini","fda"
"41",41,0.831,0.585,0.479,0.913,0.672,0.368420630693436,"Tanytarsini","rbf"
"42",42,0.666,0.328,0.188,1,0.328,0.197945013642311,"Tanytarsini","rbf"
"43",43,0.699,0.391,0.233,0.867,0.525,0.229511335492134,"Tanytarsini","rbf"
"44",44,0.811,0.656,0.475,1,0.656,0.327382266521454,"Tanytarsini","rbf"
"45",45,0.74,0.505,0.305,0.929,0.576,0.217953532934189,"Tanytarsini","rbf"
"46",46,0.879,0.653,0.565,0.833,0.82,0.218882650136948,"Tanytarsini","rbf"
"47",47,0.822,0.59,0.417,0.944,0.645,0.28678697347641,"Tanytarsini","rbf"
"48",48,0.514,0.284,0.086,1,0.284,-0.739846467971802,"Tanytarsini","rbf"
"49",49,0.774,0.524,0.56,0.588,0.935,0.358541250228882,"Tanytarsini","rbf"
"50",50,0.76,0.415,0.243,1,0.415,0.220758691430092,"Tanytarsini","rbf"
