"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.652,0.304,0.383,0.304,1,1,"Tinodes","glm"
"2",2,0.862,0.724,0.659,0.913,0.811,1,"Tinodes","glm"
"3",3,0.522,0.043,0.061,0.043,1,1,"Tinodes","glm"
"4",4,0.96,0.902,0.8,1,0.902,0.375191933149744,"Tinodes","glm"
"5",5,0.842,0.684,0.52,1,0.684,1,"Tinodes","glm"
"6",6,0.625,0.25,0.345,0.25,1,1,"Tinodes","glm"
"7",7,0.756,0.511,0.427,0.87,0.642,1,"Tinodes","glm"
"8",8,0.556,0.111,0.163,0.111,1,1,"Tinodes","glm"
"9",9,0.597,0.194,0.26,0.211,0.984,1,"Tinodes","glm"
"10",10,0.818,0.636,0.602,0.97,0.667,1,"Tinodes","glm"
"11",11,0.979,0.859,0.849,0.913,0.946,0.6,"Tinodes","tree"
"12",12,0.982,0.856,0.846,0.913,0.943,0.625,"Tinodes","tree"
"13",13,0.973,0.816,0.748,0.957,0.86,0.333333333333333,"Tinodes","tree"
"14",14,0.966,0.794,0.678,0.941,0.852,0.333333333333333,"Tinodes","tree"
"15",15,0.975,0.877,0.781,1,0.877,0.4,"Tinodes","tree"
"16",16,0.971,0.821,0.722,0.938,0.883,0.4,"Tinodes","tree"
"17",17,0.954,0.756,0.729,0.87,0.887,0.333333333333333,"Tinodes","tree"
"18",18,0.914,0.733,0.632,0.889,0.844,0.428571428571429,"Tinodes","tree"
"19",19,0.974,0.849,0.778,0.947,0.902,0.4,"Tinodes","tree"
"20",20,0.965,0.828,0.818,0.939,0.889,0.6,"Tinodes","tree"
"21",21,0.946,0.78,0.761,0.87,0.911,0.379278332070316,"Tinodes","brt"
"22",22,0.974,0.9,0.878,0.957,0.943,0.482483768722521,"Tinodes","brt"
"23",23,0.957,0.834,0.774,0.957,0.877,0.265581048982115,"Tinodes","brt"
"24",24,0.944,0.761,0.628,0.941,0.82,0.249528697056481,"Tinodes","brt"
"25",25,0.942,0.789,0.738,0.895,0.895,0.343857421056586,"Tinodes","brt"
"26",26,0.953,0.796,0.834,0.812,0.983,0.376167220417544,"Tinodes","brt"
"27",27,0.92,0.724,0.659,0.913,0.811,0.295817120205872,"Tinodes","brt"
"28",28,0.947,0.788,0.668,0.944,0.844,0.239571230405596,"Tinodes","brt"
"29",29,0.947,0.76,0.734,0.842,0.918,0.297291654385459,"Tinodes","brt"
"30",30,0.947,0.758,0.783,0.758,1,0.622609719474245,"Tinodes","brt"
"31",31,0.854,0.661,0.531,1,0.661,0.207699648068256,"Tinodes","fda"
"32",32,0.907,0.792,0.698,1,0.792,0.454693740270861,"Tinodes","fda"
"33",33,0.817,0.632,0.535,0.913,0.719,0.392872473049212,"Tinodes","fda"
"34",34,0.878,0.692,0.626,0.824,0.869,0.372141158161601,"Tinodes","fda"
"35",35,0.93,0.737,0.75,0.789,0.947,0.505169049484285,"Tinodes","fda"
"36",36,0.899,0.767,0.58,1,0.767,0.224735496882504,"Tinodes","fda"
"37",37,0.773,0.536,0.439,0.913,0.623,0.376403497971409,"Tinodes","fda"
"38",38,0.819,0.576,0.424,0.889,0.688,0.311217204475558,"Tinodes","fda"
"39",39,0.858,0.636,0.48,0.947,0.689,0.363052316754004,"Tinodes","fda"
"40",40,0.828,0.651,0.623,0.939,0.711,0.531077519808542,"Tinodes","fda"
"41",41,0.841,0.571,0.437,1,0.571,0.265684545040131,"Tinodes","rbf"
"42",42,0.927,0.792,0.698,1,0.792,0.437697857618332,"Tinodes","rbf"
"43",43,0.83,0.641,0.525,0.957,0.684,0.421437829732895,"Tinodes","rbf"
"44",44,0.835,0.61,0.504,0.824,0.787,0.359723508358002,"Tinodes","rbf"
"45",45,0.915,0.789,0.652,1,0.789,0.396742165088654,"Tinodes","rbf"
"46",46,0.921,0.783,0.604,1,0.783,0.387602925300598,"Tinodes","rbf"
"47",47,0.825,0.562,0.5,0.826,0.736,0.407216161489487,"Tinodes","rbf"
"48",48,0.872,0.625,0.423,1,0.625,0.328852236270905,"Tinodes","rbf"
"49",49,0.864,0.701,0.56,0.947,0.754,0.379978179931641,"Tinodes","rbf"
"50",50,0.879,0.681,0.649,0.97,0.711,0.587258338928223,"Tinodes","rbf"
